05.03.2020,12h20,01:07-02:00,02:10-02:45,3:10-03:50,19PdBKd__1ejRFCmT9g4xiivp6M6QXFgl,,,,,
05.03.2020,16h50,00:35 - 1:40 ,,,1FmXw11t1yOBaDEG3i9QyDOpPLpWv7FGM,,,,,
05.03.2020,12h30,00:40-1:39,04:18-5:02,,1AIZ_CQ3ZM0o3q262SvRNhURbT4ZIqe6N,,,,,
05.03.2020,15h55,00:10-01:25,1:45-2:45,,166xE5YtYnN3Jygxz8DGwmKY98GNqlW2C,,,,,
05.03.2020,17h30,00:06-01:01,01:04-01:40,01:43-01:52,1D0_Yy37Z9BgloS5JtPNH3lU-tMqXRng8,,,,,
05.03.2020,17h00,00:44-01:58,02:25-3:12,,1f4mP9hr5X2fqy_DoFFe0VNS33-ljzXiZ,,,,,
05.03.2020,16h46,00:30-02:06,2:56-3:43,,13Ac9yRWKnqYfWdt-kFX4-Fvsrp0C26rZ,,,,,
07.11.2019,10h00,01:26~2:24,13:28~14:15,,1SVPV5lBjm15fYz905lr2UHJEchNgzvcp,,,,,
07.11.2019,11h40,3:10-3:55,,,16KJVl5Iu4ZkuQ8RJ-j45fP6ZBQqJGKtK,,,,,
12.12.2019,13h30,27:28-29:55,31:07-32:56,10:41-12:49,1wJUZFR3nlrtj1Yg62OCIywD1u7DWBZ58,,,,,
11.05.2020,15h30,3:46- 4:22,8:34-11:12 ,22:55-24:30,1zAjHRZhpPspw_EjZZkAqNApydQ2OZFgH,,,,,SOUND BARELY AUDIBLE
27.08.2020,14h00,1:36 - 3:19,00:58:30 - 01:02:30,01:04:30 - 01:05:25,1KNa0X0_D64BpH3V9ESfLeExZTYlri19W,,,,,
27.08.2020,15h45,"18:19-19:50
","20:40-23:41
","25:18-26:39
",13IQhSqK7fSLlx8LdXtE_Ve7lz4MtGvY,,,,,
27.08.2020,16h30,2:55 - 6:00 ,,,1ptFXFGEVRNxuQwqSpA6BwsJTXLcj4-Fe,,,,,
28.08.2020,16h20,"7:13-7:36
","13:29-13:55
",15:07-15:14,1_MY-W1LtxsALeB7ZmQEvGeFxSprWwL_T, ,,,,
01.10.2020,13h00,2:25-4:05 ,18:37-19:24 ,22:54-24:04 ,15a0V0uiNKZyvE8D2JBEhNozqj3-OUb2Y,,,,,
08.10.2020,13h30,18:10 - 22:20 ,26:10 - 26:55,32:10 - 40:10,1FrTK-h3UrukHlb1lzoNxPSEnQ9u8-RGw,,,,,
15.10.2020,14h10,1:10 - 2:54 ,9:20 - 12:46 ,,1M8MEH0tz5EO7YnKzT2yQYFChdB-1-5_x,,,,,
15.10.2020,11h00,5:40 - 8 : 30 ,13:15 -15:15:59 ,18:00 - 19:50 ,1azeSusoX3nch2hDQVLKvrCwjDaEAQydf,,,,,
22.10.2020,16h15,5:52-7:53,10:41-12:30,12:35-13:52 ,1Dl25-EorYl_KW6-sNx5fzQ_owLQ5RXtu,,,,,
19.11.2020,10h00,18:13-20:40,22:06-24:07,13:34-17:34,15MYjqxoz4ZW4xJ56ufvYk2wSs8-EqyV7,,,,,
